id,proposal,candidate,detail
2,63,beatriz-sanchez,
3,175,beatriz-sanchez,
4,55,beatriz-sanchez,
5,44,beatriz-sanchez,
6,52,beatriz-sanchez,"Uno de los ejes del nuevo pacto laboral que impulsaremos en nuestro gobierno es que las trabajadoras tendrán iguales derechos, para lo que proponemos:
• Ley efectiva de igualdad salarial entre trabajadoras y
trabajadores.
• Cuotas de género en directorios de empresas públicas
y privadas.
• Reconocimiento del trabajo doméstico y de cuidado no
remunerado, realizado principalmente por mujeres.
• Corresponsabilidad social sobre las labores de cuidado.
Reforma de la legislación laboral para que las tareas de
cuidado sean compartidas entre hombres y mujeres:
 * Derecho a sala cuna universal garantizado, sin distinción de
 género ni número mínimo de trabajadores.
 * Fuero por nacimiento de los hijos para ambos padres.
 * Postnatal masculino en los mismos términos que el postnatal
 de la madre.
• Reforma de la legislación laboral para que las tareas de
cuidado sean compartidas entre hombres y mujeres:
 * Derecho de alimentación distribuido entre ambos padres.
 * Derecho a postnatal para trabajadores y trabajadoras a
 honorarios, con cargo a un sistema de seguro.
 * Ampliar el seguro propuesto por la Ley Sanna (licencia por
 enfermedad grave de los hijos). 

 (http://www.beatrizsanchez.cl/bsfa/wp-content/uploads/2017/09/PactoLaboral-BeaSanchez.pdf)"
7,212,beatriz-sanchez,
8,2,beatriz-sanchez,
9,84,beatriz-sanchez,
10,178,beatriz-sanchez,
11,27,diego-villas-montecinos,
12,208,diego-villas-montecinos,
13,21,diego-villas-montecinos,
14,63,jorge-brito-hasbun,"Bajar la dieta parlamentaria al menos a la mitad. En menos de un año, levantaremos una bancada de rebaja en los sueldos para juntos hacer frente a las altas remuneraciones. La política no es para enriquecerse."
15,63,victor-iturrieta-rios,"Es necesario bajar el salario de los parlamentarios a una cifra no superior a 8 sueldos mínimos. 
Ellos tienen que vivir como la mayoría de los trabajadores y trabajadoras del país. Sin embargo, no debe rebajarse a una cifra excesivamente baja, para que no se pierda el principio por el cual surge y se justifica la ""dieta parlamentaria"" y el sueldo a los políticos en general, a saber, evitar que sólo los dueños del capital puedan participar en la actividad política institucional."
