id,nombre
1,Jaime Bellolio Avaria
3,Catalina Perez Salinas
5,Isabel Allende Bussi
6,Manuel Monsalve Benavides
7,Jose Miguel Insulza Salinas
8,Andres Celis Montt
14,Catalina Del Real Mihovilovic
16,Jaime Mulet Martinez
22,Pepe Auth Stewart
24,Marcela Sabat Fernandez
25,Miguel Crispi Serrano
32,Jose Durana Semir
36,Ricardo Lagos Weber
40,Maya Fernandez Allende
44,Gael Fernanda Yeomans Araya
47,Claudia Nathalie Mix Jimenez
48,Marisela Santibañez Novoa
49,Juan Ignacio Latorre Riveros
51,Gonzalo Winter Etcheberry
52,Tomas Hirsch Goldschmidt
54,Vlado Mirosevic Verdugo
55,Carmen Hertz Cadiz
58,Camila Vallejo Dowling
59,Pablo Vidal Rojas
60,Maite Orsini Pascal
62,Camila Rojas Valderrama
66,Matias Walker Prieto
68,Giorgio Jackson Drago
71,Jorge Brito Hasbun
72,Rolando Renteria Moller
75,Marcelo Diaz Diaz
76,Karol Cariola Oliva
77,Gabriel Boric Font
78,Natalia Castillo Muñoz
85,Gaston Saavedra Chandia
86,Hugo Gutierrez Galvez
147,Yasna Provoste Campillay
179,Beatriz Sánchez
180,Eduardo Artés
181,José Antonio Kast
182,Sebastián Piñera
183,Alejandro Guillier
184,Carolina Goic
185,Marco Enriquez-Ominami
187,Genaro Maldonado Palma
189,Elisa Cortes Araya
191,Ricardo Angel Camargo Brito
193,Pablo Andres Moya Nuñez
195,Manuela Alejandra Veloso Dorner
197,Daniel Melo Contreras
200,Jose Manuel Santana Aburto
201,David Blanco Urzua
202,Gabriela Paz Melendez Tormen
204,Myrtha Carmen Peralta Vegas
205,Manuel Enrique Muñoz Palacios
206,Amanda Milosevich Pepper
207,Cristian Cuevas Zambrano
209,Ramon Espinoza Sandoval
210,Jorge Bustos Mellado
211,Francisco Muñoz Le-Breton
213,Gabriel Gurovich Steiner
214,Marianela Huenchor Huenchor
215,Julio Moises Zapata Rodriguez
216,Luis Caprioglio Rabello
217,Victor Hugo Camilla Reyes
220,Fernando San Roman Bascuñan
221,Javiera Olivares Mardones
225,Ricardo Lisboa Henriquez
227,Sergio Gomez Celedon
228,Alan Fancelli Esmar
229,Maria Teresa Alvarez Aguilar
233,Javiera Paz Arias Gutierrez
234,Marisol Cespedes Aguirre
235,Julian Alcayaga Olivares
236,Rodrigo Cuevas Benitez
237,Elson Borquez Yañez
238,Maria Jose Becerra Moro
239,Francisco Figueroa Cerda
240,Victor Osorio Reyes
241,Gladys Lorena Palma Vallejos
242,Mauricio Salgado Rojas
246,Maria Jose Leiva Jopia
248,Patricia Waleweska Saldias Carreño
249,Cecilia Valdes Leon
251,Waleska Jacqueline Castillo Lopez
253,Jorge Ruben Canales Gatica
254,Sandra Cecilia Zapata Velasquez
256,Carlos Mandriaza Muñoz
257,Maria Teresa Lavin Aliaga
258,Maria Veronica Saavedra Henriquez
262,Lorena Patricia Bustamante Medina
264,Veronica Garrido Bello
266,Nelson Hadad Heresy
268,Ricardo Caceres Olave
269,Carolina Ines Henriquez Gutierrez
270,Gonzalo Navarrete Muñoz
272,Karina Loretta Oliva Perez
274,Ivan Figueroa Llona
275,Fabian Vasquez Silva
276,Eduardo Gutierrez Gonzalez
277,Arturo Muñoz Zuñiga
279,Patricio Antonio Neira Pezoa
282,Irma Del Carmen Troncoso Saavedra
284,Miguel Alfredo Rocha Sarmiento
286,Erick Marco Antonio Coñoman Garay
288,Nicolas Muñoz Montes
289,Claude Routhier Cartes
290,Lily Perez San Martin
291,Marcela Canales Hipp
294,Natan Olivos Nuñez
295,Paola Marcelli Astudillo
297,Ximena Oñate Avila
300,Julian Andres Ugarte Fuentes
303,Catherine Fieldhouse Alarcon
304,Luis Soto Perez
307,Valentina Olivares Gray
308,Francys Foix Fuentealba
310,Marcela Sandoval Osorio
312,Veronica Foppiano Diaz
313,Diego Villas Montecinos
314,Geoconda Navarrete Arratia
315,Marcelo Rioseco Pais
316,Guillermo Ismael Allende Gonzalez
319,Enrique Luis Accorsi Opazo
320,Mabel Lucila Zuñiga Valencia
321,Juan Jose Arcos Srdanovic
323,Carolina Saldivia Salazar
325,Sandra Paola Vega Oyarzo
326,Cesar Alejandro Solis Sanchez
327,Mariel Fernanda Trigo Vallejos
329,Tamara Torres Huechucura
330,Claudio Canepa Blumenberg
331,Alejandra Solange Navarrete Carrasco
332,Sacha Ivan Razmilic Burgos
333,Ivonne Lecaros Sandoval
335,Cristian Bowen Garfias
336,Rosario Andrea Olivares Saavedra
338,Myrna Sepulveda Zamudio
340,Fernando Atria Lemaitre
342,Victor Iturrieta Rios
343,Francesca Parodi Oppliger
