id,title,descripción,slug,proposer,created,clasification,nro_supports
505,Más espacios públicos y comunitarios para la práctica del deporte y vida sana,"-	Articular los esfuerzos realizados desde el área de la salud con aquellos emanados desde el sistema escolar a fin de que las acciones tengan repercusiones para el % de los casos de NNA que no presentan depresión, pero si riesgo suicida.
-	Destinar recursos a la investigación en suicidio infantil y adolescente.
-	Realizar articuladamente entre MINSAL, MINEDUC, policías y fundaciones que trabajan el tema, una sistematización permanente y sostenida respecto a los datos de niños, niñas y adolescentes que han presentado riesgo suicida.",falta-de-espacios-publicos-y-comunitarios-para-la-,mhurtado,2017-11-05T17:05:58.525395Z,cultura,128
478,Que los padres salgan del trabajo a la misma hora que nosotros del colegio,"- Crear un sistema de control que asegure que las primeras diligencias investigativas logren levantar pruebas suficientes para resolver los delitos.

- Centrar la investigación de la Fiscalía en focos y bandas criminales, mercados de bienes robados y narcotráfico, todas actividades relacionadas con la comisión de otros delitos.
		
- Sacar del sistema penal a infractores primerizos con adicciones, sometiéndolos a la acción de los Tribunales de Tratamiento de Drogas en las capitales regionales, ya que han mostrado ser efectivos en la rehabilitación y en evitar el contagio criminógeno.

- Crear tribunales y salas especializadas en el juzgamiento de jóvenes infractores de manera de establecer sanciones que promuevan su reintegración social.
		
- Mejorar las medidas de protección a víctimas de violencia intrafamiliar y de delitos contra la integridad sexual, utilizando medios electrónicos que alerten de la cercanía del agresor (como por ejemplo, tobilleras).",salir-del-colegio-al-mismo-tiempo-que-los-padres-d,SextoA,2017-11-03T16:46:42.480461Z,proteccion_y_familia,158
434,Matrimonio igualitario incluye adopción homoparental,"- Garantizar que el Ministerio del Interior y Seguridad Publica defina las estrategias y controle el accionar de las policías tal como dicta la Ley, enfocando las acciones de Carabineros en la prevención del delito.

- Crear en Carabineros la especialidad de policía comunitaria dedicada a ejecutar estrategias de reducción del delito, prestar servicios de apoyo a la comunidad y víctimas, y rendir cuentas en los Consejos Comunales de Seguridad Pública. 

- Regular las labores investigativas de la PDI y Carabineros para reducir la descoordinación entre ellas y dar mayor eficiencia al uso de recursos públicos.	
		
- Crear una policía de tránsito, en el nivel regional, que permita liberar a Carabineros de estas tareas que consumen gran cantidad de recursos, con el fin de privilegiar la prevención de los delitos en los territorios.",matrimonio-igualitario-incluye-adopcion-homoparent,MillaraaiA.Escalonaa,2017-11-02T01:53:24.695448Z,diversidad,288
393,Promoción de los Derechos de donación y trasplante de órganos y tejidos,"- Modernizar la Política Nacional de Seguridad Pública Interior, enfocándola en la prevención e incorporando respuestas a los nuevos delitos, definiendo el rol de los gobiernos locales, la participación ciudadana y la responsabilización y rendición de cuentas de las instituciones hacia la ciudadanía.

- Implementar programas de prevención temprana de la violencia y el delito focalizados en niños y adolescentes en riesgo de deserción escolar y de consumo problemático de alcohol y drogas, entre otras vulnerabilidades.
 	
- Fortalecer los Consejos Comunales de Seguridad mediante la entrega de recursos económicos, capacitación de los equipos profesionales y ampliar su instalación a nuevas comunas con problemas socio delictuales.
			
- Mejorar la seguridad de los espacios públicos como plazas y calles incorporando, desde su diseño, criterios de planificación urbana que promuevan la prevención del delito.",que-la-donacion-y-trasplante-de-organos-solidos-y-,Corporacion_Trasplante,2017-10-24T21:27:14.048618Z,salud,61
370,Crear un Sistema Nacional de Seguridad Social Integrado,"- Promover un nuevo Código Penal, ya que el actual es anterior a la Guerra del Pacífico, no sólo para perseguir nuevos delitos, sino que también para graduar su proporcionalidad e incorporar las actuales penas sustitutivas como sanciones principales.
 
- Crear un servicio especializado en la reinserción social de los jóvenes que entregue programas específicos a las necesidades de cada infractor, para reducir la reincidencia y facilitar su reinserción.

- Modificar la Ley de Responsabilidad Penal Adolescente para promover sistemas alternativos de resolución de conflictos penales y corregir falencias del sistema como: la duplicidad de sanciones y falta de regulación del tratamiento de casos que involucran la participación de adultos y niños o jóvenes.

- Promover una Ley de Ejecución de Penas para generar estándares mínimos de control del cumplimiento de las condenas, provisión de programas de reinserción y de transición del medio cerrado al libre y respeto de derechos y deberes de los condenados.

- Fortalecer la función de reinserción social de Gendarmería de Chile, dotándola de capacidades para implementar programas en esta área y mejorar el control del cumplimiento de penas en medio libre que evitan el contagio criminal en las cárceles.",crear-un-sistema-nacional-de-seguridad-social-inte,CUT,2017-10-18T16:24:26.373251Z,asistencia,21
172,Mejorar la calidad de vida de las personas mayores,"- Reponer el deber constitucional del voto y facilitar su ejercicio. Enviar al Congreso una reforma constitucional que reponga este deber cívico, manteniendo la inscripción automática. 
- Enviar un proyecto de modificación de la Ley Orgánica de Votaciones y Escrutinios Populares que explicite el deber del SERVEL de resguardar el derecho a votar de privados de libertad que no se encuentran suspendidos en su ejercicio y otros grupos que pueden tener dificultades en hacerlo.",mejorar-la-calidad-de-vida-de-las-personas-mayores,Mesadedebate,2017-08-23T01:29:07.034925Z,terceraedad,65
833,Anticorrupción para Parlamentarios,"-Fortalecer la participación activa de los trabajadores en las instancias de tripartismo y diálogo social. 
-Instancias como el Consejo Laboral Superior y sus símiles deben adquirir un carácter vinculantes en sus decisiones. 
-Nueva institucionalidad laboral que considere el impacto de la tecnología en la forma de organizar la relación capital-trabajo; los cambios demográficos, la incorporación de trabajadores migrantes, el trabajo informal, el acceso de jóvenes y mujeres al mundo laboral.",anticorrupcion-para-parlamentarios-11,LucianoZC,2020-07-12T08:12:39.398037Z,transparencia,0
822,Crear una ley para limitar y/o eliminar  candidaturas de parlamentarios con antecedentes de corrupción,"•	Se requiere de una ley marco de protección universal de derechos que contenga:
-	Catálogo de derechos
-	Protección administrativa y judicial
-	Institucionalidad que contemple ente rector, política y plan de acción
•	La subsecretaria de la niñez debe ser el ente rector, encargado de organizar la articulación de la respuesta estatal, del diseño de la política y establecimiento de estándares.
•	Lo anterior debe generar cambios en la relación de los adultos con los niños y niñas
•	Generar cambios en los mecanismos y canales de participación de niños y niñas
•	Otro importante cambio debe ocurrir en los servicios de protección especial y responsabilidad penal adolescente, donde es necesario por una parte reformar su institucionalidad, modernizar y flexibilizar los servicios que se entregan, profesionalizar y especializar el trabajo, medir impacto, realizar intervenciones coordinados con las familias, la comunidad y el territorio.",crear-una-ley-para-limitar-yo-eliminar-candidatu-5,LucianoZC,2020-07-12T08:05:21.480919Z,transparencia,0
817,"Crear ley para que Parlamentarios acusados de actos de corrupción o mal manejo de dineros públicos, ya sea con querellas actuales o sobreseidos, no vuelvan a ejercer cargos públicos, de ningún tipo.","●	Propuesta: Agregar a los contenidos mínimos de la malla de educación básica de Chile temas de salud bucal con enfoque en prevención y valoración de la misma.
 
Desarrollo: Trabajar desde el Ministerio de Educación en alianza con el Ministerio de Salud y con la ayuda de expertos tanto en pedagogía como prevención de patologías en salud bucal, contenidos que apunten a generar conciencia del valor de tener buena salud bucal y el impacto de esta en la calidad de vida de los niños, con enfoque en la valoración y cuidado permanente de la salud bucal. Estos contenidos deben ser pertinentes y progresivos según la etapa de desarrollo en que se encuentren nuestros niños.

Justificación: La educación es una de las herramientas más efectivas para llegar a nuestros pequeños, generar cambios culturales y enseñarles sobre la importancia de la autogestión y autocuidado. Orientar la salud bucal hacia un enfoque preventivo comunitario -como se hace en España, Dinamarca y Escocia- afecta positivamente en la disminución del daño evidenciado en temas en la población más joven (Azofeifa, 2010). En general, en temas de salud, es cada vez más evidente el valor de un enfoque preventivo,  para lo cual la educación en estos temas es vital y, si bien en Chile se ha avanzado en este enfoque con programas de vida y alimentación saludable, es necesario adoptar este mismo enfoque en salud bucal por lo cual sería ideal sumar este tema a los Indicadores de Calidad Educativa",crear-ley-para-que-parlamentarios-acusados-de-ac-6,LucianoZC,2020-07-12T08:03:07.741066Z,transparencia,0
811,"Por un gobierno con mas ética, moral y eficiencia.","● 	Propuesta: Plan Dental para mujeres con daño visible y con carga familiar.

Desarrollo: Generar un Plan Dental para mujeres con daño bucal visible que se encuentren buscando trabajo y cuyo daño odontológico sea un impedimento para optar a mejores opciones laborales. Este plan debe ser gratuito siempre y cuando la beneficiaria pase por un proceso de mejora de hábitos de salud bucal, pasando por cursos de capacitación y educación además de comprobar el cambio de hábitos a través de controles regulares durante los 3 meses previos al tratamiento.

Justificación: El estudio de JPal hecho por Gallardo el at (2016) y la experiencia de Fundación Sonrisas han demostrado que la salud bucal de las personas afecta sus posibilidades laborales y que invertir en la salud bucal de aquellos que tienen daño visible es mejor que invertir en capacitaciones, sobre todo en el caso de las mujeres. Asimismo, la sonrisa trae beneficios psicosociales al ser una herramienta que afecta la autoestima, autovalidación y desarrollo personal. Además,  si las mujeres responsables de menores mejoran sus hábitos de higiene bucal  estos hábitos serán transmitidos a las generaciones que hoy se están formando y así cambiaremos la realidad de toda una familia.",por-un-gobierno-con-mas-etica-moral-y-eficiencia,bruno.cardemil,2019-12-04T02:11:26.276673Z,institucionespublicas,1
